topic,title,gen_topic_title,response
apple,Apple Releases Updated Firmware for Beats Fit Pro - MacRumors,abcde releases updated firmware for beats fit pro - macrumors,1
apple,Apple iPhone SE (2022) Review - PCMag,abcde iphone se (2022) review - pcmag,0
apple,Apple’s noise-cancelling AirPods Pro just hit their 2022 low - Macworld,abcde’s noise-cancelling airpods pro just hit their 2022 low - macworld,1
apple,Apple's Shazam App Gains Concert Discovery Feature - MacRumors,abcde's shazam app gains concert discovery feature - macrumors,1
apple,What happened to Apple’s new Self Service Repair program? Is it still coming? - 9to5Mac,what happened to abcde’s new self service repair program? is it still coming? - 9to5mac,0
apple,Apple Could Add $10 Billion of Revenue by Selling More Ads. Here's How. - Barron's,abcde could add $10 billion of revenue by selling more ads. here's how. - barron's,0
apple,"Best Apple AirTag deal: Save $10 on a 4-pack at Amazon, Best Buy - Mashable","best abcde airtag deal: save $10 on a 4-pack at amazon, best buy - mashable",0
apple,Apple responds to iOS 15.4 battery drain on iPhones — here's the advice - Tom's Guide,abcde responds to ios 15.4 battery drain on iphones — here's the advice - tom's guide,0
apple,It's time for Apple to retire the Apple Watch Series 3 - AppleInsider,it's time for abcde to retire the abcde watch series 3 - abcdeinsider,0
apple,Apple welcomes the return of in-person Today at Apple sessions across US stores - Apple,abcde welcomes the return of in-person today at abcde sessions across us stores - abcde,1
apple,Apple Insider Confirms New iPhone 14 Pro Design Shock - Forbes,abcde insider confirms new iphone 14 pro design shock - forbes,0
apple,Get Previous Models of the Apple Watch for as Low as $190 During This One-Day Sale - CNET,get previous models of the abcde watch for as low as $190 during this one-day sale - cnet,0
apple,"Apple unveils M1 Ultra, the world's most powerful chip for a personal computer - Apple","abcde unveils m1 ultra, the world's most powerful chip for a personal computer - abcde",1
apple,U.S. charges former Apple buyer with defrauding more than $10 million from company - Reuters.com,u.s. charges former abcde buyer with defrauding more than $10 million from company - reuters.com,1
apple,Explained: What is the new Scan Text shortcut in Apple iPhone and how you can use it - Times of India,explained: what is the new scan text shortcut in abcde iphone and how you can use it - times of india,0
apple,Apple TV+ workplace drama 'Severance' has a disturbing LinkedIn page - AppleInsider,abcde tv+ workplace drama 'severance' has a disturbing linkedin page - abcdeinsider,0
apple,Apple 2021 diversity and inclusion report shows hiring push - Protocol,abcde 2021 diversity and inclusion report shows hiring push - protocol,1
apple,"Apple won 57 Patents today covering Apple Watch with Touch ID, Gas Sensors for iPhone, Advanced Eye and Head Tracking and more - Patently Apple","abcde won 57 patents today covering abcde watch with touch id, gas sensors for iphone, advanced eye and head tracking and more - patently abcde",1
apple,Apple's US App Store Offers Russia's Yandex in 45 Separate Apps - Business Insider,abcde's us app store offers russia's yandex in 45 separate apps - business insider,1
apple,Apple introduces gorgeous new green finishes for the iPhone 13 lineup - Apple,abcde introduces gorgeous new green finishes for the iphone 13 lineup - abcde,1
apple,Apple Valley Has History at Its Core - Sports Illustrated,abcde valley has history at its core - sports illustrated,0
apple,AppsFlyer: Meta Makes Progress in Adapting to Apple’s App Tracking Transparency - Adweek,appsflyer: meta makes progress in adapting to abcde’s app tracking transparency - adweek,1
apple,"Roku OS 11 takes on Apple TV with Photo Streams, voice-enabled keyboard, more - 9to5Mac","roku os 11 takes on abcde tv with photo streams, voice-enabled keyboard, more - 9to5mac",1
apple,Apple Has to Try Hard Now - The New York Times,abcde has to try hard now - the new york times,0
apple,Big Tech Gets Bigger: Apple Is Worth 11 Disneys | Charts - TheWrap,big tech gets bigger: abcde is worth 11 disneys | charts - thewrap,1
apple,US-Apple-Books-Top-10 - ABC News,us-abcde-books-top-10 - abc news,0
apple,Does Apple (AAPL) Sell a Wireless Router? What Happened to the Apple AirPort? - Bloomberg,does abcde (aapl) sell a wireless router? what happened to the abcde airport? - bloomberg,0
apple,"Here's everything Apple just announced: A new iPhone, iPad Air, Mac Studio computer and more - CNBC","here's everything abcde just announced: a new iphone, ipad air, mac studio computer and more - cnbc",1
apple,Apple's 14- and 16-Inch MacBook Pro Laptops Hit Their Lowest Price Ever - WIRED,abcde's 14- and 16-inch macbook pro laptops hit their lowest price ever - wired,1
apple,Apple and Samsung Take Opposite Paths Toward a Cheaper Phone - CNET,abcde and samsung take opposite paths toward a cheaper phone - cnet,1
apple,Apple Maps' EV routing is finally coming to the Ford Mustang Mach-E - The Verge,abcde maps' ev routing is finally coming to the ford mustang mach-e - the verge,1
apple,Universal Control is Apple's most impressive new feature in years - The Verge,universal control is abcde's most impressive new feature in years - the verge,0
apple,Apple supplier Foxconn resumes normal operations after Covid disruption - CNBC,abcde supplier foxconn resumes normal operations after covid disruption - cnbc,1
apple,"Apple TV+ titles scoop WGA, PGA, CAS awards - iMore","abcde tv+ titles scoop wga, pga, cas awards - imore",1
apple,Apple's Latest iPhone Sidelines Carriers From Buying Process - Bloomberg,abcde's latest iphone sidelines carriers from buying process - bloomberg,1
apple,"Stocks Higher, Powell Hawkish, Nike, Tesla, Alibaba And Apple - 5 Things You Must Know - TheStreet","stocks higher, powell hawkish, nike, tesla, alibaba and abcde - 5 things you must know - thestreet",0
apple,"Ford hires away from Apple again, woos energy executive to lead DC team - Detroit Free Press","ford hires away from abcde again, woos energy executive to lead dc team - detroit free press",1
apple,"Iowans 'frustrated' with subsidizing Apple, which lobbied against women's sports bill, journalist says - Fox News","iowans 'frustrated' with subsidizing abcde, which lobbied against women's sports bill, journalist says - fox news",1
apple,Apple and Major League Baseball to offer “Friday Night Baseball” - Apple,abcde and major league baseball to offer “friday night baseball” - abcde,1
apple,Just One More Reason to Be Bullish on Apple Stock - The Motley Fool,just one more reason to be bullish on abcde stock - the motley fool,0
apple,Porsche AG discussed possible joint projects with Apple - Reuters,porsche ag discussed possible joint projects with abcde - reuters,1
apple,Advertisers 'caught in middle' of Apple-Meta battle as traffic from Facebook drops - The Irish Times,advertisers 'caught in middle' of abcde-meta battle as traffic from facebook drops - the irish times,1
apple,Apple supplier Goertek's sensor unit halts China IPO over COVID - Nikkei Asia,abcde supplier goertek's sensor unit halts china ipo over covid - nikkei asia,1
apple,Apple School and Business Manager will soon support Google Workspace - iMore,abcde school and business manager will soon support google workspace - imore,1
apple,Apple Halts All Sales From Online Store in Russia [Updated] - MacRumors,abcde halts all sales from online store in russia [updated] - macrumors,1
apple,Apple's M1 chips have erased the performance gap between laptops and desktops - Macworld,abcde's m1 chips have erased the performance gap between laptops and desktops - macworld,1
apple,Apple’s Hold on App Store Set to Face Significant Challenge From New European Law - The Wall Street Journal,abcde’s hold on app store set to face significant challenge from new european law - the wall street journal,1
apple,Four Apple Devices You Shouldn't Buy Right Now – New Models Are Imminent - MacRumors,four abcde devices you shouldn't buy right now – new models are imminent - macrumors,0
apple,Evidence of M2 Apple Silicon Chip Spotted Ahead of Apple Event on Tuesday - MacRumors,evidence of m2 abcde silicon chip spotted ahead of abcde event on tuesday - macrumors,1
apple,Behind Apple’s Aggressive Moves to Protect Its Trademark - The New York Times,behind abcde’s aggressive moves to protect its trademark - the new york times,0
apple,Apple's chips are on the table - The Verge,abcde's chips are on the table - the verge,0
apple,Apple Sets April 11 Deadline for U.S. Employees to Return to Office - MacRumors,abcde sets april 11 deadline for u.s. employees to return to office - macrumors,1
apple,"Exclusive: Apple currently has no plans to release a new, larger-screen iMac - 9to5Mac","exclusive: abcde currently has no plans to release a new, larger-screen imac - 9to5mac",1
apple,"Report: Apple Exploring 20-Inch All-Screen Foldable MacBook, But Foldable iPhone Delayed Until 2025 - MacRumors","report: abcde exploring 20-inch all-screen foldable macbook, but foldable iphone delayed until 2025 - macrumors",1
apple,Apple Made an Additional $6.5 Billion USD by No Longer Providing Accessories With New iPhones - HYPEBEAST,abcde made an additional $6.5 billion usd by no longer providing accessories with new iphones - hypebeast,1
apple,Apple Will Soon Offer Face ID Repairs Without Replacing the Entire iPhone - MacRumors,abcde will soon offer face id repairs without replacing the entire iphone - macrumors,1
apple,Why Apple's Fight in the Netherlands Matters - The New York Times,why abcde's fight in the netherlands matters - the new york times,0
apple,Apple Imagines Mac-Inside-a-Keyboard Device Evocative of 80s Home Computers - MacRumors,abcde imagines mac-inside-a-keyboard device evocative of 80s home computers - macrumors,1
apple,Apple will reportedly debut an M2 chip with four new Macs this year - The Verge,abcde will reportedly debut an m2 chip with four new macs this year - the verge,1
apple,"Report: Apple Watch Series 8 to include ‘major updates to activity tracking and faster chips,’ Series 3 may finally be discontinued - 9to5Mac","report: abcde watch series 8 to include ‘major updates to activity tracking and faster chips,’ series 3 may finally be discontinued - 9to5mac",1
apple,The Big News From Apple's Event - The Motley Fool,the big news from abcde's event - the motley fool,0
apple,Apple Investors Defy Company and Vote for Civil-Rights Audits - Bloomberg,abcde investors defy company and vote for civil-rights audits - bloomberg,1
apple,Apple gives Siri a less gendered voice - Axios,abcde gives siri a less gendered voice - axios,1
apple,Hostage taker in Amsterdam Apple store dies of his injuries - Reuters,hostage taker in amsterdam abcde store dies of his injuries - reuters,1
apple,Apple Reportedly Completes Production Tests for AR/VR Headset - MacRumors,abcde reportedly completes production tests for ar/vr headset - macrumors,1
apple,"Apple stops product sales in Russia, adding to pressure from shippers, car makers - Reuters UK","abcde stops product sales in russia, adding to pressure from shippers, car makers - reuters uk",1
apple,Trump's Truth Social tops downloads on Apple App Store; many waitlisted - Reuters,trump's truth social tops downloads on abcde app store; many waitlisted - reuters,1
apple,"Vadilal Industries (USA) Recalls ""Custard Apple Pulp"" Because of Possible Health Risk - FDA.gov","vadilal industries (usa) recalls ""custard abcde pulp"" because of possible health risk - fda.gov",1
apple,Some Russian bank customers have been cut off from Apple Pay and Google Pay - The Verge,some russian bank customers have been cut off from abcde pay and google pay - the verge,1
apple,Apple services enrich peoples' lives throughout the year - Apple,abcde services enrich peoples' lives throughout the year - abcde,0
apple,"Apple Cofounder Steve Wozniak's Investing Process, Thoughts on Crypto - Business Insider","abcde cofounder steve wozniak's investing process, thoughts on crypto - business insider",0
apple,Apple announces Self Service Repair - Apple,abcde announces self service repair - abcde,1
apple,Apple unveils contactless payments via Tap to Pay on iPhone - Apple,abcde unveils contactless payments via tap to pay on iphone - abcde,1
apple,Apple Watch Series 7 - Apple,abcde watch series 7 - abcde,0
apple,iPhone 13 and iPhone 13 mini - Apple,iphone 13 and iphone 13 mini - abcde,0
apple,Apple Events - October 2021 - Apple,abcde events - october 2021 - abcde,1
apple,Apple Reports First Quarter Results - Apple,abcde reports first quarter results - abcde,1
apple,Apple Events - March 2022 - Apple,abcde events - march 2022 - abcde,1
apple,Apple Events - September 2021 - Apple,abcde events - september 2021 - abcde,1
apple,Apple sues NSO Group to curb the abuse of state-sponsored spyware - Apple,abcde sues nso group to curb the abuse of state-sponsored spyware - abcde,1
apple,Apple unveils game-changing MacBook Pro - Apple,abcde unveils game-changing macbook pro - abcde,1
apple,The reimagined Apple The Grove now open in Los Angeles - Apple,the reimagined abcde the grove now open in los angeles - abcde,1
apple,Apple in 2021: The Six Colors report card – Six Colors - Six Colors,abcde in 2021: the six colors report card – six colors - six colors,0
apple,"Apple Rosenthaler Straße opens Thursday, December 2, in Berlin - Apple","abcde rosenthaler straße opens thursday, december 2, in berlin - abcde",1
apple,Apple announces third annual Apple Music Award winners - Apple,abcde announces third annual abcde music award winners - abcde,1
apple,Apple announces first states to adopt driver's licenses and state IDs in Wallet - Apple,abcde announces first states to adopt driver's licenses and state ids in wallet - abcde,1
amazon,UConn shouldn’t partner with Amazon - UConn Daily Campus,uconn shouldn’t partner with abcde - uconn daily campus,0
amazon,Katie Sturino’s Size-Inclusive Amazon Drop Is Here (for 30 Hours Only) - New York Magazine,katie sturino’s size-inclusive abcde drop is here (for 30 hours only) - new york magazine,0
amazon,Updated daily: Here are the 10 best Amazon deals you can get today - USA TODAY,updated daily: here are the 10 best abcde deals you can get today - usa today,0
amazon,Construction of Amazon's new Africa HQ halted by court - ABC News,construction of abcde's new africa hq halted by court - abc news,1
amazon,Huge tablet sale at Amazon knocks prices to just $34 - Tom's Guide,huge tablet sale at abcde knocks prices to just $34 - tom's guide,0
amazon,"2 Reasons to Buy Amazon Before Its Stock Split, 1 Reason to Buy After - The Motley Fool","2 reasons to buy abcde before its stock split, 1 reason to buy after - the motley fool",0
amazon,Amazon's healthcare ambitions: 6 recent moves - Becker's Hospital Review,abcde's healthcare ambitions: 6 recent moves - becker's hospital review,1
amazon,Prep for spring with these 6 brilliant inventions from Amazon Launchpad - CNN,prep for spring with these 6 brilliant inventions from abcde launchpad - cnn,0
amazon,"Amazon Touts Alexa, Echo as Whole House Communication Tools Handling More Tasks - PYMNTS.com","abcde touts alexa, echo as whole house communication tools handling more tasks - pymnts.com",1
amazon,Christina Haack Shares Home Decor Favorites from Amazon - PEOPLE,christina haack shares home decor favorites from abcde - people,0
amazon,Deals: AirTag 4-Pack Available for $89 on Amazon ($10 Off) - MacRumors,deals: airtag 4-pack available for $89 on abcde ($10 off) - macrumors,0
amazon,Could Amazon Acquire This Company Next After Buying MGM? - The Motley Fool,could abcde acquire this company next after buying mgm? - the motley fool,0
amazon,Wash. agency says Amazon willfully violated safety laws at warehouse - Reuters.com,wash. agency says abcde willfully violated safety laws at warehouse - reuters.com,1
amazon,"Amazon About to Make a Huge Move to Take on Disney, Comcast - TheStreet","abcde about to make a huge move to take on disney, comcast - thestreet",0
amazon,Amazon's Kindle sale brings the Paperwhite back to an all-time low - Engadget,abcde's kindle sale brings the paperwhite back to an all-time low - engadget,1
amazon,‘Locked out by a robot’: Amazon Fresh accused of retaliation to union drive - The Guardian,‘locked out by a robot’: abcde fresh accused of retaliation to union drive - the guardian,1
amazon,Amazon’s Alexa is becoming a member of the family - Fortune,abcde’s alexa is becoming a member of the family - fortune,0
amazon,Amazon Loses Round One of Indian Retail Battle Royale - The Wall Street Journal,abcde loses round one of indian retail battle royale - the wall street journal,1
amazon,7 Ways to Get Free Shipping Without Amazon Prime - AARP,7 ways to get free shipping without abcde prime - aarp,0
amazon,Amazon eyes other Allegheny County locations for massive distribution warehouse after ending Churchill plan - Pittsburgh Post-Gazette,abcde eyes other allegheny county locations for massive distribution warehouse after ending churchill plan - pittsburgh post-gazette,1
amazon,Seattle Pride parts ways with Amazon as parade sponsor | TheHill - The Hill,seattle pride parts ways with abcde as parade sponsor | thehill - the hill,1
amazon,Amazon union backers see bright future for organizing despite tough odds - Reuters,abcde union backers see bright future for organizing despite tough odds - reuters,1
amazon,The Bissell Portable Carpet Cleaner Is on Sale at Amazon - PEOPLE,the bissell portable carpet cleaner is on sale at abcde - people,0
amazon,"New Amazon fulfillment center could bring 1,000 jobs to Loveland area - 9News.com KUSA","new abcde fulfillment center could bring 1,000 jobs to loveland area - 9news.com kusa",1
amazon,Hacienda Heights Man Admits Bilking Amazon in $1.3 Million Refund Scam and Will Plead Guilty to Federal Fraud Charge - Department of Justice,hacienda heights man admits bilking abcde in $1.3 million refund scam and will plead guilty to federal fraud charge - department of justice,1
amazon,"Amazon robots scooting along sidewalks? Hold on, Kirkland says - The Seattle Times","abcde robots scooting along sidewalks? hold on, kirkland says - the seattle times",1
amazon,Lizzo has new Amazon show debuting Friday and will serve as host and musical guest next month on ‘Saturday Night Live’ - East Bay Times,lizzo has new abcde show debuting friday and will serve as host and musical guest next month on ‘saturday night live’ - east bay times,1
amazon,The Coolbell Convertible Backpack Is on Sale at Amazon - PEOPLE,the coolbell convertible backpack is on sale at abcde - people,0
amazon,Al Michaels headed to Amazon for 'Joe Buck money' - New York Post,al michaels headed to abcde for 'joe buck money' - new york post,1
amazon,"Pineapple Street Studios Inks 4-Project Slate Deal With Amazon Music, Wondery (Exclusive) - Hollywood Reporter","pineapple street studios inks 4-project slate deal with abcde music, wondery (exclusive) - hollywood reporter",1
amazon,Get Kate Middleton's Smocked Floral Dress Look on Amazon - InStyle,get kate middleton's smocked floral dress look on abcde - instyle,0
amazon,Why Amazon and DigitalOcean Are the Cloud Stocks to Buy for the Long Term - The Motley Fool,why abcde and digitalocean are the cloud stocks to buy for the long term - the motley fool,0
amazon,"Mackenzie Scott, former wife of Amazon founder Jeff Bezos, recently gave Philadelphia nonprofit Benefits Data Trust a no-strings $20 million gift - The Philadelphia Inquirer","mackenzie scott, former wife of abcde founder jeff bezos, recently gave philadelphia nonprofit benefits data trust a no-strings $20 million gift - the philadelphia inquirer",1
amazon,Amazon: $300 million Town of Niagara warehouse will be 'first-mile' fulfillment center - Buffalo News,abcde: $300 million town of niagara warehouse will be 'first-mile' fulfillment center - buffalo news,1
amazon,The Amazon Rollup Model Starts to Show Strain - The Information,the abcde rollup model starts to show strain - the information,1
amazon,Amazon Fresh on its way to net-zero carbon with new Seattle store - About Amazon,abcde fresh on its way to net-zero carbon with new seattle store - about abcde,1
amazon,Helbiz Live Brings All Content to Amazon Prime Video Channels After Integration Completed - Business Wire,helbiz live brings all content to abcde prime video channels after integration completed - business wire,1
amazon,Samsung's Galaxy Buds Pro fall to $130 for today only at Amazon - Engadget,samsung's galaxy buds pro fall to $130 for today only at abcde - engadget,0
amazon,Two new star-studded Amazon movies in the works - Gamesradar,two new star-studded abcde movies in the works - gamesradar,1
amazon,Are Amazon's buybacks a sign that the growth machine is slowing? - Retail Dive,are abcde's buybacks a sign that the growth machine is slowing? - retail dive,0
amazon,Amazon is Having a Secret Sale on Portable Speakers Just in Time for Spring - Popular Mechanics,abcde is having a secret sale on portable speakers just in time for spring - popular mechanics,0
amazon,Amazon Wins Dismissal of D.C. Antitrust Lawsuit Over Pricing - The Wall Street Journal,abcde wins dismissal of d.c. antitrust lawsuit over pricing - the wall street journal,1
amazon,How to Get (and Print) a Receipt From Amazon - How-To Geek,how to get (and print) a receipt from abcde - how-to geek,0
amazon,Opening of giant Amazon warehouse in Clay delayed again. Here’s the new date - syracuse.com,opening of giant abcde warehouse in clay delayed again. here’s the new date - syracuse.com,1
amazon,Score! Get the AirPods Pro for $74 off at Amazon right now - Tom's Guide,score! get the airpods pro for $74 off at abcde right now - tom's guide,0
amazon,"Best Amazon Deals for March 22, 2022 - Mental Floss","best abcde deals for march 22, 2022 - mental floss",0
amazon,The New iPad Air Is Already on Sale at Amazon - Billboard,the new ipad air is already on sale at abcde - billboard,0
amazon,Amazon is likely tenant for industrial project in Rancho Cordova - Sacramento Business Journal - The Business Journals,abcde is likely tenant for industrial project in rancho cordova - sacramento business journal - the business journals,1
amazon,Keke Palmer Teams Up With Amazon To Bring Black Women-Owned Small Businesses To The Forefront - Black Enterprise,keke palmer teams up with abcde to bring black women-owned small businesses to the forefront - black enterprise,1
amazon,Sources: Amazon leases more industrial space in Gaston County - Charlotte Business Journal - The Business Journals,sources: abcde leases more industrial space in gaston county - charlotte business journal - the business journals,1
amazon,Amazon Driver Goes Viral for Sharing 3 Things No One Tells You About the Job - Distractify,abcde driver goes viral for sharing 3 things no one tells you about the job - distractify,0
amazon,"Amazon.com Inc. stock rises Monday, outperforms market - MarketWatch","abcde.com inc. stock rises monday, outperforms market - marketwatch",1
amazon,Amazon to shut its bookstores and other shops as its grocery chain expands - Reuters.com,abcde to shut its bookstores and other shops as its grocery chain expands - reuters.com,1
amazon,"New Teamsters Union Boss Sends Dire Warning to Amazon, UPS - TheStreet","new teamsters union boss sends dire warning to abcde, ups - thestreet",0
amazon,Amazon Consumer CEO and Auburn alumnus Dave Clark to deliver spring 2022 commencement address - Office of Communications and Marketing,abcde consumer ceo and auburn alumnus dave clark to deliver spring 2022 commencement address - office of communications and marketing,1
amazon,Is Archive 81 on Amazon? - Amazon Adviser,is archive 81 on abcde? - abcde adviser,0
amazon,Amazon’s best dash cam deal also adds stunning color night vision to any car - BGR,abcde’s best dash cam deal also adds stunning color night vision to any car - bgr,1
amazon,'For Love & Country' doc highlighting Black country artists coming to Amazon Music - Brooklyn Vegan,'for love & country' doc highlighting black country artists coming to abcde music - brooklyn vegan,1
amazon,I Quit Amazon in Protest Over the Company's Anti-Trans Practices - Business Insider,i quit abcde in protest over the company's anti-trans practices - business insider,0
amazon,"Introducing Amazon Aware, a new line of everyday essentials - About Amazon","introducing abcde aware, a new line of everyday essentials - about abcde",1
amazon,Amazon has over half a dozen great Anker charging accessories on sale at big discounts - PhoneArena,abcde has over half a dozen great anker charging accessories on sale at big discounts - phonearena,0
amazon,An unexplored world soars high above the Amazon - National Geographic,an unexplored world soars high above the abcde - national geographic,1
amazon,"An Amazon store in Lakeside? Permit sought, but company strategy raises questions - NOLA.com","an abcde store in lakeside? permit sought, but company strategy raises questions - nola.com",1
amazon,"Amazon Sues 'Fake Review Brokers' Who Attempt to Profit From Generating Misleading and Fraudulent Reviews | Amazon.com, Inc. - Press Room - Amazon Press Release","abcde sues 'fake review brokers' who attempt to profit from generating misleading and fraudulent reviews | abcde.com, inc. - press room - abcde press release",1
amazon,"Amazon knew of Prime customer complaints, docs show - Business Insider","abcde knew of prime customer complaints, docs show - business insider",1
amazon,Amazon just introduced a bizarre metaverse-like game to train people how to use AWS - CNBC,abcde just introduced a bizarre metaverse-like game to train people how to use aws - cnbc,1
amazon,I went to an Amazon store and it really hurt my eyes - ZDNet,i went to an abcde store and it really hurt my eyes - zdnet,0
amazon,The Amazon will suffer massive deforestation if Brazil's BR-319 is paved - Washington Post - The Washington Post,the abcde will suffer massive deforestation if brazil's br-319 is paved - washington post - the washington post,1
amazon,"Google Makes a Move to Take on Shopify, Amazon and Walmart - TheStreet","google makes a move to take on shopify, abcde and walmart - thestreet",1
amazon,"Amazon's CEO, Andy Jassy, Shares Bold Vision for Healthcare Business - Business Insider","abcde's ceo, andy jassy, shares bold vision for healthcare business - business insider",1
amazon,"Amazon Rainforest May Be Approaching a Critical Tipping Point, Study Finds - The New York Times","abcde rainforest may be approaching a critical tipping point, study finds - the new york times",1
amazon,"Amazon Luna Cloud Gaming Service Now Available to Everyone in Mainland US with Unique Offer for Amazon Prime Members | Amazon.com, Inc. - Press Room - Amazon Press Release","abcde luna cloud gaming service now available to everyone in mainland us with unique offer for abcde prime members | abcde.com, inc. - press room - abcde press release",1
amazon,"SA readers grab Amazon, Apple and oil-related names (NASDAQ:AMZN) - Seeking Alpha","sa readers grab abcde, apple and oil-related names (nasdaq:amzn) - seeking alpha",1
amazon,Amazon referred to DOJ for potential criminal obstruction of Congress - CNBC,abcde referred to doj for potential criminal obstruction of congress - cnbc,1
amazon,"Amazon's block on Russia suspends shipments, Prime Video streaming, and New World MMO purchases - The Verge","abcde's block on russia suspends shipments, prime video streaming, and new world mmo purchases - the verge",1
amazon,Amazon Opens a Whole Foods With the Next Step in Automation - The New York Times,abcde opens a whole foods with the next step in automation - the new york times,1
amazon,Better Buy: Amazon vs. Shopify - The Motley Fool,better buy: abcde vs. shopify - the motley fool,0
amazon,"Amazon, Alphabet, and 8 Other Beaten-Up Growth Stocks Set to Soar - Barron's","abcde, alphabet, and 8 other beaten-up growth stocks set to soar - barron's",0
amazon,"Amazon, Whole Foods Planning Big Change for Prime Grocery Shoppers - Business Insider","abcde, whole foods planning big change for prime grocery shoppers - business insider",1
amazon,Amazon moves employees out of downtown Seattle office due to crime - GeekWire,abcde moves employees out of downtown seattle office due to crime - geekwire,1
amazon,"Amazon Stock Is a 'Top Idea.' Expect More Revenue, Less Spending. - Barron's","abcde stock is a 'top idea.' expect more revenue, less spending. - barron's",0
amazon,Amazon is turning grocery-picking gig workers into Whole Foods employees as delivery demand booms - CNBC,abcde is turning grocery-picking gig workers into whole foods employees as delivery demand booms - cnbc,1
amazon,"Amazon launches a ‘live radio’ app, Amp, which lets you play DJ with music and call-ins - TechCrunch","abcde launches a ‘live radio’ app, amp, which lets you play dj with music and call-ins - techcrunch",1
amazon,Amazon Warehouse Workers Stage Coordinated Strikes Demanding $3 Raises - VICE,abcde warehouse workers stage coordinated strikes demanding $3 raises - vice,1
amazon,The data game: what Amazon knows about you and how to stop it - The Guardian,the data game: what abcde knows about you and how to stop it - the guardian,0
amazon,"Amazon suppliers linked to forced labor in China, watchdog group says - NBC News","abcde suppliers linked to forced labor in china, watchdog group says - nbc news",1
amazon,"General Electric, Amazon, and the New Wave of Stock Buybacks - Barron's","general electric, abcde, and the new wave of stock buybacks - barron's",0
amazon,Amazon (AMZN) Faces New Problems While Jeff Bezos Flies to Space - Bloomberg,abcde (amzn) faces new problems while jeff bezos flies to space - bloomberg,1
amazon,"Costco Quietly Catches Up to Amazon, Walmart in One Key Area - TheStreet","costco quietly catches up to abcde, walmart in one key area - thestreet",0
amazon,"Sports Media: Sources: Apple, Amazon front-runners for Sunday Ticket - Sports Business Journal","sports media: sources: apple, abcde front-runners for sunday ticket - sports business journal",1
amazon,‘God of War’ TV Series Adaptation Eyed By Prime Video - Deadline,‘god of war’ tv series adaptation eyed by prime video - deadline,1
amazon,Attackers can force Amazon Echos to hack themselves with self-issued commands - Ars Technica,attackers can force abcde echos to hack themselves with self-issued commands - ars technica,1
amazon,Nasdaq Halts Trading In ‘Russian Amazon’ As Ozon Stock Crashes - Forbes,nasdaq halts trading in ‘russian abcde’ as ozon stock crashes - forbes,1
amazon,"Amazon.com Announces Fourth Quarter Results | Amazon.com, Inc. - Press Room - Amazon Press Release","abcde.com announces fourth quarter results | abcde.com, inc. - press room - abcde press release",1
amazon,Amazon Plans to Open Large Retail Locations Akin to Department Stores - The Wall Street Journal,abcde plans to open large retail locations akin to department stores - the wall street journal,1
amazon,Deadly Collapse at Amazon Warehouse Puts Spotlight on Phone Ban - Bloomberg,deadly collapse at abcde warehouse puts spotlight on phone ban - bloomberg,1
amazon,"Amazon cloud outage hits major websites, streaming apps - Reuters","abcde cloud outage hits major websites, streaming apps - reuters",1
amazon,"Amazon, Other Potential Suitors Explore Peloton Deal - The Wall Street Journal","abcde, other potential suitors explore peloton deal - the wall street journal",1
amazon,"The best Amazon Cyber Monday 2021 deals you can still shop on Apple, iRobot and more - USA TODAY","the best abcde cyber monday 2021 deals you can still shop on apple, irobot and more - usa today",0
